0.004917	3.33957	0.004917	0.6019864546
0.009833	0.237572	0.009833	0.3586902227	
0.01475	0.16665	0.01475	0.2102540558	
0.019666	0.121645	0.019666	0.1224705261	
0.02458	0.0906149	0.02458	0.07472913702	
0.029495	0.0682177	0.029495	0.05377243433	
0.034409	0.054424	0.034409	0.04976637094	
0.03932	0.0436845	0.03932	0.05248193328	
0.044232	0.03319	0.044232	0.05016476951	
0.049141	0.0250181	0.049141	0.04246592177	
0.054048	0.0202084	0.054048	0.03574909498	
0.058954	0.0172775	0.058954	0.03083006467	
0.063859	0.0154751	0.063859	0.02712024318	
0.068759	0.0139314	0.068759	0.02418591667	
0.073659	0.0129065	0.073659	0.02177049771	
0.078557	0.011898	0.078557	0.01972591596	
0.08345	0.0110068	0.08345	0.01796018947	
0.088342	0.0101918	0.088342	0.01641051449	
0.093231	0.00948826	0.093231	0.01503515366	
0.098115	0.00878546	0.098115	0.01380388196	
0.102997	0.00810943	0.102997	0.01269296185	
0.107876	0.00755076	0.107876	0.01168502182	
0.11275	0.00700809	0.11275	0.01076654691	
0.117622	0.00649612	0.117622	0.009925826261	
0.122489	0.00604232	0.122489	0.009154299815	
0.127351	0.00558401	0.127351	0.008444409181	
0.13221	0.00515968	0.13221	0.007789574799	
0.137065	0.00478494	0.137065	0.007184629702	
0.141913	0.00441726	0.141913	0.006625361541	
0.146758	0.0040849	0.146758	0.006107363841	
0.151598	0.00380239	0.151598	0.005627440479	
0.156432	0.00351492	0.156432	0.00518266256	
0.161261	0.00325243	0.161261	0.004770256319	
0.166086	0.00298582	0.166086	0.004387760995	
0.170903	0.00274765	0.170903	0.00403333166	
0.175716	0.00252733	0.175716	0.003704714971	
0.180523	0.00234171	0.180523	0.003400277151	
0.185322	0.00213447	0.185322	0.003118492761	
0.190116	0.00197634	0.190116	0.002857668828	
0.194905	0.00182411	0.194905	0.00261641855	
0.199684	0.00165775	0.199684	0.002393674678	
0.204459	0.00152726	0.204459	0.002187931002	
0.209227	0.00140978	0.209227	0.001998183956	
0.213986	0.00129025	0.213986	0.001823425827	
0.21874	0.00118453	0.21874	0.001662496288	
0.223486	0.00107838	0.223486	0.001514547188	
0.228223	0.000983865	0.228223	0.001378699316	
0.232954	0.000901645	0.232954	0.001254015953	
0.237677	0.000823604	0.237677	0.001139751466	
0.24239	0.00075538	0.24239	0.001035189569	
0.247097	0.000688214	0.247097	0.0009395273445	
0.251795	0.000628182	0.251795	0.0008521567362	
0.256483	0.000572463	0.256483	0.0007724575979	
0.261164	0.000522501	0.261164	0.000699784165	
0.265837	0.000480623	0.265837	0.0006335987491	
0.270498	0.00043539	0.270498	0.0005734305617	
0.275152	0.000399029	0.275152	0.0005187241539	
0.279797	0.000364496	0.279797	0.0004690503839	
0.284431	0.000331332	0.284431	0.000424003087	
0.289057	0.000304123	0.289057	0.0003831572495	
0.293673	0.000278544	0.293673	0.0003461648044	
0.298277	0.000253887	0.298277	0.0003126986698	
0.302873	0.000232209	0.302873	0.0002824150199	
0.307459	0.000213509	0.307459	0.0002550388664	
0.312032	0.000193501	0.312032	0.0002303185779	
0.316597	0.000176875	0.316597	0.0002079812414	
0.321151	0.000162466	0.321151	0.0001878177385	
0.325693	0.000148937	0.325693	0.0001696250901	
0.330225	0.000137297	0.330225	0.0001532065811	
0.334746	0.000126421	0.334746	0.0001383944649	
0.339254	0.000115173	0.339254	0.000125037983	
0.343752	0.000105971	0.343752	0.0001129858879	
0.348238	9.75811e-05	0.348238	0.0001021149736	
0.352711	8.97108e-05	0.352711	9.23102687e-05	
0.357174	8.32218e-05	0.357174	8.345982676e-05	
0.361625	7.67116e-05	0.361625	7.547290011e-05	
0.366061	7.08432e-05	0.366061	6.826827689e-05	
0.370487	6.5421e-05	0.370487	6.176047137e-05	
0.374901	6.06154e-05	0.374901	5.588363862e-05	
0.3793	5.6427e-05	0.3793	5.057910856e-05	
0.383688	5.25006e-05	0.383688	4.57861111e-05	
