-25	0.001255615606	-25	0.0004123551432
-24.9	0.001255615606	-24.9	0.0004123551432	
-24.8	0.001255615606	-24.8	0.0004123551432	
-24.7	0.001255615606	-24.7	0.0004123551432	
-24.6	0.001255615606	-24.6	0.0004123551432	
-24.5	0.001255615606	-24.5	0.0004123551432	
-24.4	0.001255615606	-24.4	0.0004123551432	
-24.3	0.001255615606	-24.3	0.0004123551432	
-24.2	0.001255615606	-24.2	0.0004123551432	
-24.1	0.001255615606	-24.1	0.0004123551432	
-24	0.001255615606	-24	0.0004123551432	
-23.9	0.001255615606	-23.9	0.0004123551432	
-23.8	0.001255615606	-23.8	0.0004123551432	
-23.7	0.001255615606	-23.7	0.0004123551432	
-23.6	0.001255615606	-23.6	0.0004123551432	
-23.5	0.001255615606	-23.5	0.0004123551432	
-23.4	0.001255615606	-23.4	0.0004123551432	
-23.3	0.001255615606	-23.3	0.0004123551432	
-23.2	0.001255615606	-23.2	0.0004123551432	
-23.1	0.001255615606	-23.1	0.0004123551432	
-23	0.001255615606	-23	0.0004123551432	
-22.9	0.001255615606	-22.9	0.0004123551432	
-22.8	0.001255615606	-22.8	0.0004123551432	
-22.7	0.001255615606	-22.7	0.0004123551432	
-22.6	0.001255615606	-22.6	0.0004123551432	
-22.5	0.001255615606	-22.5	0.0004123551432	
-22.4	0.001255615606	-22.4	0.0004123551432	
-22.3	0.001255615606	-22.3	0.0004123551432	
-22.2	0.001255615606	-22.2	0.0004123551432	
-22.1	0.001255615606	-22.1	0.0004123551432	
-22	0.001255615606	-22	0.0004123551432	
-21.9	0.001255615606	-21.9	0.0004123551432	
-21.8	0.001255615606	-21.8	0.0004123551432	
-21.7	0.001255615606	-21.7	0.0004123551432	
-21.6	0.001255615606	-21.6	0.0004123551432	
-21.5	0.001255615606	-21.5	0.0004123551432	
-21.4	0.001255615606	-21.4	0.0004123551432	
-21.3	0.001255615606	-21.3	0.0004123551432	
-21.2	0.001255615606	-21.2	0.0004123551432	
-21.1	0.001255615606	-21.1	0.0004123551432	
-21	0.001255615606	-21	0.0004123551432	
-20.9	0.001255615606	-20.9	0.0004123551432	
-20.8	0.001255615606	-20.8	0.0004123551432	
-20.7	0.001255615606	-20.7	0.0004123551432	
-20.6	0.001255615606	-20.6	0.0004123551432	
-20.5	0.001255615606	-20.5	0.0004123551432	
-20.4	0.001255615606	-20.4	0.0004123551432	
-20.3	0.001255615606	-20.3	0.0004123551432	
-20.2	0.001255615606	-20.2	0.0004123551432	
-20.1	0.001255615606	-20.1	0.0004123551432	
-20	0.001255615606	-20	0.0004123551432	
-19.9	0.001255615606	-19.9	0.0004123551432	
-19.8	0.001255615606	-19.8	0.0004123551432	
-19.7	0.001255615606	-19.7	0.0004123551432	
-19.6	0.001255615606	-19.6	0.0004123551432	
-19.5	0.001255615606	-19.5	0.0004123551432	
-19.4	0.001255615606	-19.4	0.0004123551432	
-19.3	0.001255615606	-19.3	0.0004123551432	
-19.2	0.001255615606	-19.2	0.0004123551432	
-19.1	0.001255615606	-19.1	0.0004123551432	
-19	0.001255615606	-19	0.0004123551432	
-18.9	0.001255615606	-18.9	0.0004123551432	
-18.8	0.001255615606	-18.8	0.0004123551432	
-18.7	0.001255615606	-18.7	0.0004123551432	
-18.6	0.001255615606	-18.6	0.0004123551432	
-18.5	0.001255615606	-18.5	0.0004123551432	
-18.4	0.001255615606	-18.4	0.0004123551432	
-18.3	0.001255615606	-18.3	0.0004123551432	
-18.2	0.001255615606	-18.2	0.0004123551432	
-18.1	0.001255615606	-18.1	0.0004123551432	
-18	0.001255615606	-18	0.0004123551432	
-17.9	0.001255615606	-17.9	0.0004123551432	
-17.8	0.001255615606	-17.8	0.0004123551432	
-17.7	0.001255615606	-17.7	0.0004123551432	
-17.6	0.001255615606	-17.6	0.0004123551432	
-17.5	0.001255615606	-17.5	0.0004123551432	
-17.4	0.001255615606	-17.4	0.0004123551432	
-17.3	0.001255615606	-17.3	0.0004123551432	
-17.2	0.001255615606	-17.2	0.0004123551432	
-17.1	0.001255615606	-17.1	0.0004123551432	
-17	0.001255615606	-17	0.0004123551432	
-16.9	0.001255615606	-16.9	0.0004123551432	
-16.8	0.001255615606	-16.8	0.0004123551432	
-16.7	0.001255615606	-16.7	0.0004123551432	
-16.6	0.001255615606	-16.6	0.0004123551432	
-16.5	0.001255615606	-16.5	0.0004123551432	
-16.4	0.001255615606	-16.4	0.0004123551432	
-16.3	0.001255615606	-16.3	0.0004123551432	
-16.2	0.001255615606	-16.2	0.0004123551432	
-16.1	0.001255615606	-16.1	0.0004123551432	
-16	0.001255615606	-16	0.0004123551432	
-15.9	0.001255615606	-15.9	0.0004123551432	
-15.8	0.001255615606	-15.8	0.0004123551432	
-15.7	0.001255615606	-15.7	0.0004123551432	
-15.6	0.001255615606	-15.6	0.0004123551432	
-15.5	0.001255615606	-15.5	0.0004123551432	
-15.4	0.001255615606	-15.4	0.0004123551432	
-15.3	0.001255615606	-15.3	0.0004123551432	
-15.2	0.001255615606	-15.2	0.0004123551432	
-15.1	0.001255615606	-15.1	0.0004123551432	
-15	0.001255615606	-15	0.0004123551432	
-14.9	0.001255615606	-14.9	0.0004123551432	
-14.8	0.001255615606	-14.8	0.0004123551432	
-14.7	0.001255615606	-14.7	0.0004123551432	
-14.6	0.001255615606	-14.6	0.0004123551432	
-14.5	0.001255615606	-14.5	0.0004123551432	
-14.4	0.001255615606	-14.4	0.0004123551432	
-14.3	0.001255615606	-14.3	0.0004123551432	
-14.2	0.001255615606	-14.2	0.0004123551432	
