0.572782	-5.231234662	0.572782	-4.903626728	
0.576388	-5.244182292	0.576388	-4.896252584	
0.579975	-5.25069897	0.579975	-4.889588737	
0.58354	-5.251818953	0.58354	-4.883641518	
0.587087	-5.263849003	0.587087	-4.878402329	
0.590615	-5.266866961	0.590615	-4.873869177	
0.594121	-5.269686984	0.594121	-4.870039357	
0.597608	-5.28373115	0.597608	-4.86690148	
0.601075	-5.278888774	0.601075	-4.864447674	
0.604521	-5.286767422	0.604521	-4.862668325	
0.607947	-5.306972529	0.607947	-4.861551837	
0.611352	-5.300393786	0.611352	-4.861086875	
0.614736	-5.305148332	0.614736	-4.861261056	
0.6181	-5.310112467	0.6181	-4.862062006	
0.621441	-5.298088514	0.621441	-4.863475797	
0.624765	-5.315145665	0.624765	-4.86549242	
0.628066	-5.314844283	0.628066	-4.868095584	
0.631345	-5.317283764	0.631345	-4.871271998	
0.634603	-5.333826597	0.634603	-4.875009073	
0.637839	-5.335001899	0.637839	-4.879292103	
0.641055	-5.324217993	0.641055	-4.884110445	
0.644247	-5.332826393	0.644247	-4.889444312	
0.647419	-5.344225962	0.647419	-4.89528661	
0.650569	-5.344585895	0.650569	-4.901620406	
0.653696	-5.342749045	0.653696	-4.908429686	
0.656801	-5.346551101	0.656801	-4.915702624	
0.659885	-5.357902658	0.659885	-4.923428034	
0.662945	-5.363252407	0.662945	-4.931584352	
0.665984	-5.358312761	0.665984	-4.940165466	
0.669	-5.375754011	0.669	-4.949151786	
0.671992	-5.377638819	0.671992	-4.958525594	
0.674963	-5.373087111	0.674963	-4.968281891	
0.677911	-5.36831784	0.677911	-4.978399785	
0.680835	-5.371544654	0.680835	-4.988860682	
0.683737	-5.373433817	0.683737	-4.999656595	
0.686616	-5.363186254	0.686616	-5.010768647	
0.68947	-5.364669087	0.68947	-5.022173087	
0.692302	-5.365844287	0.692302	-5.033865804	
0.695112	-5.37444577	0.695112	-5.045830981	
0.697894	-5.38252576	0.697894	-5.058025774	
0.700657	-5.385173415	0.700657	-5.07047255	
0.703395	-5.388591112	0.703395	-5.083127371	
0.706108	-5.382626368	0.706108	-5.095971869	
0.708799	-5.384998439	0.708799	-5.109001991	
0.711465	-5.384110943	0.711465	-5.122184534	
0.714106	-5.401288264	0.714106	-5.135499943	
0.716724	-5.396474569	0.716724	-5.148938619	
0.719318	-5.394905147	0.719318	-5.162475453	
0.721886	-5.39464754	0.721886	-5.176079236	
0.724431	-5.398624562	0.724431	-5.189744813	
0.726952	-5.405640603	0.726952	-5.203445601	
0.729446	-5.409436791	0.729446	-5.217143351	
0.731918	-5.413558985	0.731918	-5.230843447	
0.734364	-5.402501168	0.734364	-5.244501466	
0.736784	-5.4095929	0.736784	-5.258094707	
0.739181	-5.419805161	0.739181	-5.271617356	
0.741552	-5.417830919	0.741552	-5.285029764	
0.743898	-5.422621959	0.743898	-5.298314846	
0.746219	-5.412888708	0.746219	-5.311450015	
0.748515	-5.41235525	0.748515	-5.324412912	
0.750785	-5.426859079	0.750785	-5.337175914	
0.75303	-5.405324643	0.75303	-5.34972314	
0.75525	-5.426260676	0.75525	-5.362033634	
0.757443	-5.434639856	0.757443	-5.374076216	
0.759612	-5.424052804	0.759612	-5.385848048	
0.761755	-5.414309212	0.761755	-5.397319852	
0.763871	-5.417496881	0.763871	-5.408469303	
0.765962	-5.42410008	0.765962	-5.419291104	
0.768027	-5.421807919	0.768027	-5.429765465	
0.770066	-5.437107866	0.770066	-5.439879379	
0.772079	-5.437504908	0.772079	-5.449621393	
0.774066	-5.433217331	0.774066	-5.45898169	
0.776026	-5.415544386	0.776026	-5.467947639	
0.777961	-5.429781735	0.777961	-5.476522003	
0.779869	-5.430355765	0.779869	-5.484691298	
0.78175	-5.425665411	0.78175	-5.492453128	
0.783605	-5.427270089	0.783605	-5.499810758	
0.785434	-5.445125779	0.785434	-5.506764807	
0.787236	-5.447629931	0.787236	-5.513314008	
0.789011	-5.450914549	0.789011	-5.519462751	
0.79076	-5.436692192	0.79076	-5.525220154	
0.792482	-5.442062326	0.792482	-5.530589995	
0.794177	-5.442804495	0.794177	-5.535580909	
