0.370487	-4.184282822	0.370487	-4.179451395	0.370487	-4.179853857	
0.374901	-4.217417025	0.374901	-4.212602824	0.374901	-4.213026695	
0.3793	-4.248513039	0.3793	-4.24529592	0.3793	-4.245736602	
0.383688	-4.279835733	0.383688	-4.277553653	0.383688	-4.278006385	
0.388063	-4.310858141	0.388063	-4.309354778	0.388063	-4.309814647	
0.392423	-4.341735736	0.392423	-4.34067914	0.392423	-4.341141127	
0.396772	-4.370195026	0.396772	-4.37155002	0.396772	-4.372009042	
0.401107	-4.402445215	0.401107	-4.401940931	0.401107	-4.402391878	
0.405427	-4.431246955	0.405427	-4.431840571	0.405427	-4.432278355	
0.409735	-4.461569547	0.409735	-4.461265507	0.409735	-4.461685082	
0.414029	-4.488717048	0.414029	-4.49019808	0.414029	-4.490594504	
0.418307	-4.520436206	0.418307	-4.518621699	0.418307	-4.518990181	
0.422573	-4.547088619	0.422573	-4.54655985	0.422573	-4.546895751	
0.426824	-4.573771854	0.426824	-4.573989944	0.426824	-4.574288865	
0.43106	-4.59879597	0.43106	-4.600909745	0.43106	-4.601167552	
0.435282	-4.628538679	0.435282	-4.627323491	0.435282	-4.62753634	
0.43949	-4.654287201	0.43949	-4.653229156	0.43949	-4.653393547	
0.443681	-4.676215931	0.443681	-4.67860693	0.443681	-4.678719782	
0.447859	-4.702460521	0.447859	-4.703479757	0.447859	-4.703538368	
0.452022	-4.728864987	0.452022	-4.727834353	0.452022	-4.727836506	
0.456167	-4.750244146	0.456167	-4.751652751	0.456167	-4.75159678	
0.460299	-4.775327116	0.460299	-4.774963137	0.460299	-4.774847848	
0.464416	-4.795502888	0.464416	-4.797753376	0.464416	-4.797578186	
0.468515	-4.816032997	0.468515	-4.820006956	0.468515	-4.819771945	
0.472599	-4.839927827	0.472599	-4.841740405	0.472599	-4.841446269	
0.476668	-4.853831639	0.476668	-4.862953617	0.476668	-4.862601744	
0.480719	-4.879133348	0.480719	-4.883631456	0.480719	-4.883224006	
0.484756	-4.901200579	0.484756	-4.903794792	0.484756	-4.903334633	
0.488776	-4.918130844	0.488776	-4.923429037	0.488776	-4.922919875	
0.492777	-4.941205892	0.492777	-4.942525742	0.492777	-4.941972133	
0.496764	-4.96419017	0.496764	-4.961109701	0.496764	-4.960516999	
0.500734	-4.979348732	0.500734	-4.979167674	0.500734	-4.978542129	
0.504685	-4.999882756	0.504685	-4.996692362	0.504685	-4.996041078	
0.508621	-5.017680816	0.508621	-5.013703236	0.508621	-5.013034092	
0.51254	-5.027968506	0.51254	-5.030193359	0.51254	-5.029514992	
0.51644	-5.046132593	0.51644	-5.046157074	0.51644	-5.04547878	
0.520324	-5.061761056	0.520324	-5.061609659	0.520324	-5.060941296	
0.52419	-5.075840679	0.52419	-5.076546436	0.52419	-5.075898307	
0.528037	-5.091648507	0.528037	-5.090967827	0.528037	-5.090350537	
0.531867	-5.098174563	0.531867	-5.104885965	0.531867	-5.104310299	
0.53568	-5.113514915	0.53568	-5.118305692	0.53568	-5.117782456	
0.539473	-5.132485962	0.539473	-5.131222382	0.539473	-5.130762179	
0.543249	-5.152549503	0.543249	-5.143652788	0.543249	-5.143265927	
0.547007	-5.155615409	0.547007	-5.15560043	0.547007	-5.15529668	
0.550745	-5.164438151	0.550745	-5.167066902	0.550745	-5.166855261	
0.554465	-5.181110631	0.554465	-5.178066942	0.554465	-5.177955524	
0.558167	-5.190134703	0.558167	-5.188609474	0.558167	-5.188605262	
0.561849	-5.19527327	0.561849	-5.198698719	0.561849	-5.198807291	
0.565513	-5.204766694	0.565513	-5.208350744	0.565513	-5.20857617	
0.569158	-5.217348965	0.569158	-5.21757401	0.569158	-5.217918548	
0.572782	-5.231234662	0.572782	-5.226375683	0.572782	-5.226839521	
0.576388	-5.244182292	0.576388	-5.234775782	0.576388	-5.235356983	
0.579975	-5.25069897	0.579975	-5.242785068	0.579975	-5.243479221	
0.58354	-5.251818953	0.58354	-5.250411157	0.58354	-5.251211101	
0.587087	-5.263849003	0.587087	-5.257677407	0.587087	-5.25857323	
0.590615	-5.266866961	0.590615	-5.264596783	0.590615	-5.265575451	
0.594121	-5.269686984	0.594121	-5.271179486	0.594121	-5.272224663	
0.597608	-5.28373115	0.597608	-5.277447557	0.597608	-5.27853973	
0.601075	-5.278888774	0.601075	-5.283415444	0.601075	-5.284532027	
0.604521	-5.286767422	0.604521	-5.28909774	0.604521	-5.290213466	
0.607947	-5.306972529	0.607947	-5.294512034	0.607947	-5.295599488	
0.611352	-5.300393786	0.611352	-5.299672109	0.611352	-5.300702404	
0.614736	-5.305148332	0.614736	-5.304592667	0.614736	-5.305536251	
0.6181	-5.310112467	0.6181	-5.309288854	0.6181	-5.310116388	
0.621441	-5.298088514	0.621441	-5.31376928	0.621441	-5.314452808	
0.624765	-5.315145665	0.624765	-5.318053356	0.624765	-5.318567011	
0.628066	-5.314844283	0.628066	-5.322143416	0.628066	-5.322465168	
0.631345	-5.317283764	0.631345	-5.326049733	0.631345	-5.326162322	
0.634603	-5.333826597	0.634603	-5.329780896	0.634603	-5.329673094	
0.637839	-5.335001899	0.637839	-5.333341726	0.637839	-5.333009661	
0.641055	-5.324217993	0.641055	-5.336739263	0.641055	-5.336187025	
0.644247	-5.332826393	0.644247	-5.339973647	0.644247	-5.339214013	
0.647419	-5.344225962	0.647419	-5.343053113	0.647419	-5.342106894	
0.650569	-5.344585895	0.650569	-5.345979968	0.650569	-5.344875879	
0.653696	-5.342749045	0.653696	-5.348758259	0.653696	-5.347531929	
0.656801	-5.346551101	0.656801	-5.351394689	0.656801	-5.35008736	
0.659885	-5.357902658	0.659885	-5.353896917	0.659885	-5.352554003	
0.662945	-5.363252407	0.662945	-5.356270776	0.662945	-5.35494014	
0.665984	-5.358312761	0.665984	-5.358528412	0.665984	-5.35725839	
0.669	-5.375754011	0.669	-5.36067983	0.669	-5.359517063	
0.671992	-5.377638819	0.671992	-5.362737794	0.671992	-5.36172488	
0.674963	-5.373087111	0.674963	-5.36471973	0.674963	-5.363893058	
0.677911	-5.36831784	0.677911	-5.366641458	0.677911	-5.366028667	
0.680835	-5.371544654	0.680835	-5.368520639	0.680835	-5.368138979	
0.683737	-5.373433817	0.683737	-5.370377067	0.683737	-5.370232756	
0.686616	-5.363186254	0.686616	-5.372228029	0.686616	-5.372315834	
0.68947	-5.364669087	0.68947	-5.374088859	0.68947	-5.374392464	
0.692302	-5.365844287	0.692302	-5.375976229	0.692302	-5.376469617	
0.695112	-5.37444577	0.695112	-5.377902488	0.695112	-5.378551143	
0.697894	-5.38252576	0.697894	-5.379872781	0.697894	-5.380635369	
0.700657	-5.385173415	0.700657	-5.38189954	0.700657	-5.382730802	
0.703395	-5.388591112	0.703395	-5.383980912	0.703395	-5.384833637	
0.706108	-5.382626368	0.706108	-5.386115328	0.706108	-5.386943459	
0.708799	-5.384998439	0.708799	-5.38829962	0.708799	-5.389061156	
0.711465	-5.384110943	0.711465	-5.390521614	0.711465	-5.391181852	
0.714106	-5.401288264	0.714106	-5.392767527	0.714106	-5.393301948	
0.716724	-5.396474569	0.716724	-5.395022441	0.716724	-5.395418446	
0.719318	-5.394905147	0.719318	-5.397267258	0.719318	-5.397524943	
0.721886	-5.39464754	0.721886	-5.399481501	0.721886	-5.39961325	
0.724431	-5.398624562	0.724431	-5.40164952	0.724431	-5.401678326	
0.726952	-5.405640603	0.726952	-5.403753559	0.726952	-5.403711005	
0.729446	-5.409436791	0.729446	-5.405776437	0.729446	-5.405699734	
0.731918	-5.413558985	0.731918	-5.407710213	0.731918	-5.407638577	
0.734364	-5.402501168	0.734364	-5.409542997	0.734364	-5.409513765	
0.736784	-5.4095929	0.736784	-5.411269922	0.736784	-5.411314139	
0.739181	-5.419805161	0.739181	-5.412892132	0.739181	-5.413030115	
0.741552	-5.417830919	0.741552	-5.414410869	0.741552	-5.414647232	
0.743898	-5.422621959	0.743898	-5.41583455	0.743898	-5.416153545	
0.746219	-5.412888708	0.746219	-5.417174455	0.746219	-5.417536502	
0.748515	-5.41235525	0.748515	-5.418442469	0.748515	-5.418785218	
0.750785	-5.426859079	0.750785	-5.419647186	0.750785	-5.41989175	
0.75303	-5.405324643	0.75303	-5.420792641	0.75303	-5.420854036	
0.75525	-5.426260676	0.75525	-5.421874304	0.75525	-5.421675457	
0.757443	-5.434639856	0.757443	-5.42287686	0.757443	-5.42236576	
0.759612	-5.424052804	0.759612	-5.4237761	0.759612	-5.422943904	
0.761755	-5.414309212	0.761755	-5.424537582	0.761755	-5.423435373	
0.763871	-5.417496881	0.763871	-5.425132676	0.763871	-5.423874449	
0.765962	-5.42410008	0.765962	-5.4255534	0.765962	-5.4243044	
0.768027	-5.421807919	0.768027	-5.425822879	0.768027	-5.424776188	
0.770066	-5.437107866	0.770066	-5.42600618	0.770066	-5.425349071	
0.772079	-5.437504908	0.772079	-5.42621688	0.772079	-5.426089882	
0.774066	-5.433217331	0.774066	-5.426610949	0.774066	-5.427068394	
0.776026	-5.415544386	0.776026	-5.427353402	0.776026	-5.428342737	
0.777961	-5.429781735	0.777961	-5.42858238	0.777961	-5.429947098	
0.779869	-5.430355765	0.779869	-5.430374978	0.779869	-5.431874646	
0.78175	-5.425665411	0.78175	-5.432725356	0.78175	-5.434072421	
0.783605	-5.427270089	0.783605	-5.4355278	0.783605	-5.436435049	
0.785434	-5.445125779	0.785434	-5.438561157	0.785434	-5.438797935	
0.787236	-5.447629931	0.787236	-5.441479696	0.787236	-5.440934716	
0.789011	-5.450914549	0.789011	-5.443813349	0.789011	-5.442559944	
0.79076	-5.436692192	0.79076	-5.444966898	0.79076	-5.443329399	
0.792482	-5.442062326	0.792482	-5.444220408	0.792482	-5.442840829	
