0.287515	-5.708211712	0.287515	-5.708211712	0.287515	-5.681526112	
0.290715	-5.830103187	0.290715	-5.830103187	0.290715	-5.753493634	
0.293894	-5.779501223	0.293894	-5.779501223	0.293894	-5.834581189	
0.29705	-5.884598199	0.29705	-5.884598199	0.29705	-5.924993741	
0.300183	-6.0582603	0.300183	-6.0582603	0.300183	-6.025109858	
0.303293	-6.218307872	0.303293	-6.218307872	0.303293	-6.135621132	
0.306381	-5.961794861	0.306381	-5.961794861	0.306381	-6.257734769	
0.309445	-6.359716973	0.309445	-6.359716973	0.309445	-6.392235194	
0.312485	-7	0.312485	-7	0.312485	-6.517969304	
0.315502	-6.191104759	0.315502	-6.191104759	0.315502	-6.574080359	
0.318494	-6.903879731	0.318494	-6.903879731	0.318494	-6.542407956	
0.321463	-6.071666172	0.321463	-6.071666172	0.321463	-6.470953459	
0.324407	-6.286095772	0.324407	-6.286095772	0.324407	-6.40002467	
0.327326	-6.710980596	0.327326	-6.710980596	0.327326	-6.330363308	
0.33022	-6.280499421	0.33022	-6.280499421	0.33022	-6.259825116	
0.333089	-6.113103202	0.333089	-6.113103202	0.333089	-6.190224003	
0.335933	-6.115014992	0.335933	-6.115014992	0.335933	-6.123081371	
0.338751	-5.96507129	0.338751	-5.96507129	0.338751	-6.059523822	
0.341543	-5.95338272	0.341543	-5.95338272	0.341543	-6.000296856	
0.34431	-6.058464518	0.34431	-6.058464518	0.34431	-5.945828062	
0.34705	-5.807818789	0.34705	-5.807818789	0.34705	-5.896356787	
0.349763	-5.938856764	0.349763	-5.938856764	0.349763	-5.851879046	
0.352451	-5.769153753	0.352451	-5.769153753	0.352451	-5.81220706	
0.355111	-5.81942486	0.355111	-5.81942486	0.355111	-5.777110615	
0.357744	-5.738239822	0.357744	-5.738239822	0.357744	-5.74621515	
0.36035	-5.706907167	0.36035	-5.706907167	0.36035	-5.719110464	
0.362928	-5.676779055	0.362928	-5.676779055	0.362928	-5.695370952	
0.365479	-5.709681297	0.365479	-5.709681297	0.365479	-5.674551315	
0.368002	-5.702955954	0.368002	-5.702955954	0.368002	-5.656244091	
0.370497	-5.56016429	0.370497	-5.56016429	0.370497	-5.640070099	
0.372964	-5.620417311	0.372964	-5.620417311	0.372964	-5.625702569	
0.375402	-5.668124265	0.375402	-5.668124265	0.375402	-5.612883816	
0.377812	-5.560041426	0.377812	-5.560041426	0.377812	-5.601418491	
0.380193	-5.601068327	0.380193	-5.601068327	0.380193	-5.591201547	
0.382545	-5.593881204	0.382545	-5.593881204	0.382545	-5.582207406	
0.384868	-5.553316539	0.384868	-5.553316539	0.384868	-5.574498093	
0.387162	-5.546200991	0.387162	-5.546200991	0.387162	-5.56822411	
0.389426	-5.568821896	0.389426	-5.568821896	0.389426	-5.563625386	
0.39166	-5.585617193	0.39166	-5.585617193	0.39166	-5.561023062	
0.393865	-5.575289013	0.393865	-5.575289013	0.393865	-5.560819874	
0.39604	-5.565251029	0.39604	-5.565251029	0.39604	-5.563496698	
0.398184	-5.554054877	0.398184	-5.554054877	0.398184	-5.569599728	
